Data;Índice de Confiança do Empresário Industrial (ICEI) - geral - - - Confederação Nacional da Indústria - CNI12_ICEIGER12;
2010.01;68,3;
2010.02;67,5;
2010.03;67,4;
2010.04;66,5;
2010.05;66;
2010.06;65,9;
2010.07;63,4;
2010.08;63,6;
2010.09;63,2;
2010.10;62,5;
2010.11;61,7;
2010.12;61,4;
2011.01;61,6;
2011.02;61,4;
2011.03;60,2;
2011.04;59,5;
2011.05;57,2;
2011.06;57,5;
2011.07;57,7;
2011.08;56,1;
2011.09;56,3;
2011.10;54,4;
2011.11;55,1;
2011.12;55;
2012.01;57,2;
2012.02;58,2;
2012.03;58,6;
2012.04;57,3;
2012.05;57,9;
2012.06;56;
2012.07;53,3;
2012.08;54,4;
2012.09;57,6;
2012.10;56,3;
2012.11;58,4;
2012.12;57,5;
2013.01;56,8;
2013.02;58,1;
2013.03;57,1;
2013.04;55,4;
2013.05;55,5;
2013.06;54,8;
2013.07;50;
2013.08;52,5;
2013.09;54,2;
2013.10;53,8;
2013.11;54,4;
2013.12;54,4;
2014.01;53,1;
2014.02;52,3;
2014.03;52,4;
2014.04;49,2;
2014.05;47,9;
2014.06;47,4;
2014.07;46,4;
2014.08;46,5;
2014.09;46,5;
2014.10;45,8;
2014.11;44,7;
2014.12;45,1;
2015.01;44,3;
2015.02;40,1;
2015.03;37,6;
2015.04;38,6;
2015.05;38,7;
2015.06;38,9;
2015.07;37,3;
2015.08;36,9;
2015.09;35,9;
2015.10;35,1;
2015.11;36,6;
2015.12;36;
2016.01;36,6;
2016.02;37,2;
2016.03;37,4;
2016.04;37;
2016.05;41,4;
2016.06;45,8;
2016.07;47,4;
2016.08;51,7;
2016.09;53,9;
2016.10;52,5;
2016.11;51,9;
2016.12;48;
2017.01;50,3;
2017.02;53,3;
2017.03;54;
2017.04;53,3;
2017.05;53,7;
2017.06;51,9;
2017.07;50,6;
2017.08;52,8;
2017.09;55,7;
2017.10;56;
2017.11;56,6;
2017.12;58,2;
2018.01;59;
2018.02;58,9;
2018.03;59,1;
2018.04;56,9;
2018.05;55,5;
2018.06;49,7;
2018.07;50,2;
2018.08;53,3;
2018.09;52,9;
2018.10;53,7;
2018.11;63,4;
2018.12;63,9;
2019.01;64,6;
2019.02;64,6;
2019.03;62;
2019.04;58,4;
2019.05;56,5;
2019.06;56,9;
2019.07;57,1;
2019.08;59,4;
2019.09;59,5;
2019.10;59,3;
2019.11;62,5;
2019.12;64,3;
2020.01;65,3;
2020.02;64,7;
2020.03;60,3;
2020.04;34,5;
2020.05;34,7;
2020.06;41,2;
2020.07;47,6;
2020.08;57;
2020.09;61,6;
2020.10;61,8;
2020.11;62,9;
2020.12;63,1;
2021.01;60,9;
2021.02;59,5;
2021.03;54,4;
2021.04;53,7;
2021.05;58,5;
2021.06;61,7;
2021.07;62;
2021.08;63,2;
2021.09;58;
2021.10;57,8;
2021.11;56;
2021.12;56,7;
2022.01;56;
2022.02;55,8;
2022.03;55,4;
2022.04;56,8;
2022.05;56,5;
2022.06;57,8;
2022.07;57,8;
2022.08;59,8;
2022.09;62,8;
2022.10;60,2;
2022.11;51,7;
2022.12;50,8;
2023.01;48,6;
2023.02;50,6;
2023.03;49,9;
2023.04;48,8;
2023.05;49,2;
2023.06;50,4;
2023.07;51,1;
2023.08;53,2;
2023.09;51,9;
2023.10;50,5;
2023.11;50,4;
2023.12;51;
2024.01;53,2;
2024.02;52,7;
2024.03;52,8;
2024.04;51,5;
2024.05;52,2;
2024.06;51,4;
2024.07;50,1;
2024.08;51,7;
2024.09;53,3;
2024.10;53,2;
2024.11;52,6;
2024.12;50,1;
2025.01;49,1;
2025.02;49,1;
2025.03;49,2;
2025.04;48;
2025.05;48,9;
2025.06;48,6;
2025.07;47,3;
2025.08;46,1;
2025.09;46,2;
2025.10;47,2;
2025.11;48,3;
2025.12;48;
2026.01;48,5;
2026.02;48,2;
2026.03;46,6;
2026.04;45,2;
