Data;Taxa combinada de desocupação e de subocupação - (%) - Instituto Brasileiro de Geografia e Estatística, Pesquisa Nacional por Amostra de Domicílios Contínua (IBGE/PNAD Contínua) - PNADC12_TDESSUBOC12;
2012.03;15,3;
2012.04;14,7;
2012.05;14,4;
2012.06;14,1;
2012.07;13,7;
2012.08;13,2;
2012.09;12,7;
2012.10;12,5;
2012.11;12,3;
2012.12;12,3;
2013.01;12,6;
2013.02;13;
2013.03;13,4;
2013.04;13,3;
2013.05;13;
2013.06;12,7;
2013.07;12,5;
2013.08;12,2;
2013.09;11,9;
2013.10;11,7;
2013.11;11,4;
2013.12;11,1;
2014.01;11,2;
2014.02;11,5;
2014.03;11,8;
2014.04;11,8;
2014.05;11,6;
2014.06;11,4;
2014.07;11,3;
2014.08;11,3;
2014.09;11,3;
2014.10;11,3;
2014.11;11,3;
2014.12;11,3;
2015.01;11,6;
2015.02;12,3;
2015.03;12,8;
2015.04;13;
2015.05;13,2;
2015.06;13,6;
2015.07;14;
2015.08;14,2;
2015.09;14,5;
2015.12;13,1;
2016.01;13,6;
2016.02;14,3;
2016.03;15,2;
2016.04;15,6;
2016.05;15,9;
2016.06;16,1;
2016.07;16,4;
2016.08;16,5;
2016.09;16,6;
2016.10;16,7;
2016.11;17;
2016.12;17,3;
2017.01;17,8;
2017.02;18,4;
2017.03;18,9;
2017.04;18,9;
2017.05;18,9;
2017.06;18,7;
2017.07;18,6;
2017.08;18,5;
2017.09;18,5;
2017.10;18,3;
2017.11;18,3;
2017.12;18,1;
2018.01;18,3;
2018.02;18,6;
2018.03;19,1;
2018.04;19;
2018.05;18,9;
2018.06;18,8;
2018.07;18,7;
2018.08;18,6;
2018.09;18,5;
2018.10;18,5;
2018.11;18,3;
2018.12;18,2;
2019.01;18,6;
2019.02;18,9;
2019.03;19,3;
2019.04;19,2;
2019.05;19,2;
2019.06;19;
2019.07;18,8;
2019.08;18,7;
2019.09;18,5;
2019.10;18,3;
2019.11;17,8;
2019.12;17,5;
2020.01;17,6;
2020.02;17,9;
2020.03;18,5;
2020.04;18,7;
2020.05;19;
2020.06;19,4;
2020.07;20,1;
2020.08;21;
2020.09;21,3;
2020.10;21,1;
2020.11;21,1;
2020.12;20,9;
2021.01;21,2;
2021.02;21,4;
2021.03;21,8;
2021.04;21,9;
2021.05;21,9;
2021.06;21,6;
2021.07;21,2;
2021.08;20,5;
2021.09;20;
2021.10;19,3;
2021.11;18,6;
2021.12;18;
2022.01;17,7;
2022.02;17,4;
2022.03;17,2;
2022.04;16,6;
2022.05;16;
2022.06;15,4;
2022.07;15,1;
2022.08;14,8;
2022.09;14,4;
2022.10;13,8;
2022.11;13,4;
2022.12;13;
2023.01;13,2;
2023.02;13,3;
2023.03;13,5;
2023.04;13,2;
2023.05;13,1;
2023.06;12,8;
2023.07;12,7;
2023.08;12,7;
2023.09;12,6;
2023.10;12,6;
2023.11;12,6;
2023.12;12,4;
2024.01;12,5;
2024.02;12,5;
2024.03;12,7;
2024.04;12,3;
2024.05;11,9;
2024.06;11,6;
2024.07;11,4;
2024.08;11,2;
2024.09;11;
2024.10;10,8;
2024.11;10,7;
2024.12;10,6;
2025.01;10,8;
2025.02;10,9;
2025.03;11,1;
2025.04;10,8;
2025.05;10,4;
2025.06;10;
2025.07;9,8;
2025.08;9,8;
2025.09;9,8;
2025.10;9,7;
2025.11;9,4;
2025.12;9,2;
2026.01;9,5;
2026.02;9,8;
2026.03;10,1;
